identifier,title,creator,date,year,language,description,publisher,source,collected_date
bib_fict_9736934,"Dominici Baudii Amores, Edente Petro Scriverio, Inscripti Th. Graswinckelio, Equiti","Baudius, Dominique; Schrijver, Pieter [Scriverius, Petrus] (ed.)",1638-01-01T00:00:00Z,1638,Latin,"12mo. pp. [12], 518, f. [1]. Signatures: 3*6 A-2G8 2H12 2I6 2K2. Later vellum boards. Modern bookplate of William Tibbett, stamp of R.W. Smith. First edition, includes among ‘other works’ the Pervigilium Veneris and the first printing of the ‘Animadversiones in Perviligium’ by Scriverius (pp. 463ff.), which exposes (pp. 463 ff.) the forged passage published by Jan Dousa in his 1592 edition of Catullus. See Freeman, Catullus Carmen 17.6 and Other Mysteries: A Study in Editorial Conflict, Eccentricity, Forgery, and Restitution: with a Checklist of Significant Printed Editions of Catullus in Latin, 1472-2005. London, 2020, p. 40, and the studies (1911 and 1936) of the Pervigilium by Cecil Clementi (Pergilium Veneris, The vigil of Venus, edited with facsimiles of the codex Salmasianus and codex Thuaneus, an introduction, translation, apparatus criticus, and explanatory notes. Oxford, 1911; Pervigilium Veneris. The vigil of Venus. Oxford, 1936). See Bib# 9736933 in this collection for Dousa’s original forgery (1592) with the ownership inscription of Scriverius himself. See Bib# 7138283 for the commentary in Noel’s Catullus (1803).",Amsterdam : Apud Ludovicum Elzevirium [Louis Elzevir],Internet Archive,2025-11-18T16:14:38.726984
bib_fict_9645631,Les Illustrations de Gaule et Singularitez de Troye,"Lemaire de Belges, Jean",1524-01-01T00:00:00Z,1524,French,"Stout folio. ff. [8], lvi (i.e. lix), [5]; ff. [2], xxx (i.e. xlii), [2]; ff. [4], xlii, [14]; ff. [44]. Signatures: a-b4 A-J6 K4 L6; 2a-f 6 g4 h6; 3a4 b-g6 2H6; 2A6 B8 AA-EE6. Near-contemporary full soft Spanish calf. Contains bookplate of Arthur Auguste Brolemann. Midway through the third book appears the 17th-century ownership entry ‘Don Pedro de Velasco / Espanol / nacionolo / in / Salamanca,’ and there are a few other manuscript notes in the same hand, including ‘El Rey Don Enrique el quarto’ on the title and nine lines of (Spanish) verse at the end. Elegant gothic-letter typography with large and small woodcut initials, and a red and black title page with a remarkable wide historiated border involving three manneken-pis cherubs, a sage in a hanging basket, David and Goliath in full armour, and two naked handmaidens, one serving refreshments to a recumbent warrior and one dandling a snake (this is badly reproduced in J. Abelard, Les illustrations de Gaule et singularitez de Troye de Jean Lemaire de Belges : Etude des editions, genese de l'oeuvre. Geneva, 1976, p. 139); there are three very fine full-page woodcuts at the beginning, another of the author presenting his book to a smiling monarch, three further sectional titles with impressive woodcuts incorporated, and Le Noir’s grand ‘blackamoor’ printer’s device at the end. Collected edition of all three (really five) parts of the Illustrations de Gaule, issued separately in 1511 through 1524 in smaller formats, all forbiddingly rare. This is USTC 52382 and ‘Edition Z’ in Jacques Abelard’s magisterial bibliography of Lemaire (pp. 138-140), apparently the second of the combined assemblies or ‘editions complete,’ following his ‘Edition J’ of 1524. USTC locates copies at the British Library, Bodley (two copies, one Francis Douce’s), the Bibliotheque Nationale de Paris (imperfect), and the Bibliotheque Historique de la Ville de Paris. The Illustrations of Lemaire de Belges is celebrated on two major counts, as the historical ‘opus magnum d’un ecrivain reconnu, de l’avis meme de ses contemporains, comme le plus grand de son temps’ (Abelard), with some 36 editions and adaptations between 1511 and 1549, and as the highly infectious ‘re-forgery’ of the historical fictions of Annius of Viterbo (see Bib# 4102744/Fr# 198 in this collection). The present copy may have figured in the inherited library of Henri Auguste Brolemann, the grandfather of the distinguished Lyonnais bibliophile Arthur Auguste Brolemann (1826–1904). The earlier Spanish provenance deserves further investigation: this Don Pedro may have been the son of Don Diego de Velasquez, a late-16th-century Spanish colonial administrator who served in Florida and Mexico. See the article on the family by J. F. Schwaller, “Nobility, Family, and Service: Menendez and his Men,” in: Florida Historical Quarterly 66 (1988), pp. 298-310, esp. pp. 302-305.",Paris : On les vend […] par Francoys Regnault libraire iure en l’université de Paris […] [Philippe le Noir for Francois Regnault],Internet Archive,2025-11-18T16:14:38.726992
bib_fict_4102761,"Commentarius Paulli Manutii in epistolas M. Tullii Ciceronis ad T. Pomponium Atticum: cum rerum & verborum Indice. Adjunctæ sunt item Simeonis Bosii, Prætoris Lemovicensis, animadversiones in easdem epistolas, diu hactenus expetitæ","Manutius, Paulus [Manuzio, Paolo] ; Bosius, Simeon [Dubois, Siméon]",1580-01-01T00:00:00Z,1580,Latin,"8vo. pp. [16], 634, [53], [1] (blank); pp. [7], 218, [7], [1] (blank). Original vellum. spine and front pastedown damaged. Remants of gilt spine, brown lettering panel still present. Endpapers coming from printed used paper. Blue edges. Part 2 has special title page: ""Simeonis Bosii Praetoris Lemovicensis Animadversiones in Epistolas M.T. Ciceronis ad T. Pomponium Atticum: ad amplissimum virum Philippum Huraltum Chivernium, Galliae Procancellarium. Francofurti, Apud A. Wechelum, M. D. LXXX."" Printer's device on title page. Head- and tailpieces, engraved initials. Some text crossed in green pencil. Bosius’s edition (Limoges, 1580) featured editorial impostures, i.e. readings from imaginary manuscripts. See H. M. Adams, Catalogue of Books Printed on the Continent of Europe, 1501-1600, in Cambridge Libraries. 2 vols. Cambridge, 1967, M464. Click here to view the Johns Hopkins University catalog record.",Frankfurt : Apud Andream Wechelum,Internet Archive,2025-11-18T16:14:38.727004
bib_fict_4102854,Analecta ecclesiasticarum exercitationum Collectore Richardo Montacutio,"Montagu, Richard",1622-01-01T00:00:00Z,1622,Latin,"Folio. ff. [2] (blank), [14], pp. 390, ff. [2] (blank). Signatures: a-b⁶ A-3D⁴. Vellum-backed paper boards. Title within cartouche. Signature at the head of title page of John Hacket, Bishop of Coventry and Lichfield. Headpieces, engraved initials. Ownership inscription of a Cluniac priory (1748) on title. The present work was a plagiarism of Isaac Casaubon’s then unpublished refusal of the Annals of Baronius, De rebus sacris (London, 1614; see Bib# 9075524/Fr3 325.1 in this collection), which was compiled by Richard Montagu (1577-1641), subsequently dean and archdeacon of Hereford, in 1612. Montagu deceptively used Casaubon’s further notes on Baronio in an extended critique of the Annals in 1622, without citing Casaubon as his source. See M. Pattison, Isaac Casaubon, 1559–1614. London, 1875, pp. 420ff; W. A. Jackson, F. S. Ferguson, & K. F. Pantzer (eds.), Short-title Catalogue of Books Printed in England, Scotland, & Ireland, and of English Books Printed Abroad, 1475–1640. 3 vols. London, 1976–91 (2nd ed.), 18029.",London : [Printed by John Haviland and Adam Islip] Pro Societate Bibliopolarum,Internet Archive,2025-11-18T16:14:38.727039
bib_fict_8687509,"Σιβυλλιακῶν Χρησμῶν λόγοι ὀκτώ. Sibyllinorum Oraculorum Libri VIII. Addita Sebastiani Castalionis interpretatione Latina, qu[a]e Gr[a]eco erigionè respondeat [...]",,1555-01-01T00:00:00Z,1555,Latin,"Full title: Σιβυλλιακῶν Χρησμῶν λόγοι ὀκτώ. Sibyllinorum Oraculorum Libri VIII. Addita Sebastiani Castalionis interpretatione Latina, qu[a]e Gr[a]eco erigionè respondeat. Cum annotationib. Xysti Betuleij in Græca Sibyllina oracula, & Sebastiani Castalionis in translationem suam: quæ Annotationes numeris marginalibus signantur. Quæ pr[a]eterea huic editioni ultra priorem accesserint, diligens lector ex pr[a]efationib. & collatione facilè deprehendet. 8vo. pp. 333, [3]. Bound with: Ex veterum comicorum fabulis, quæ integræ non extant, sententiæ. Nunc primum in sermonem Latinum conversæ. Paris, Apud Guil. Morelium, 1553, pp. [4], 147, [1]. Exquisitely bound for Julius von Thungen, a German aristocrat, in contemporary polished French calf. Spine with raised bands, devices in compartments, and identifying information gilt-tooled directly to spine (not on labels). Covers gilt-ruled with gilt fleurons to corners and a gilt armorial supralibros at center, incorporating in its wreath a gilt “G.W.” and “1558,” presumably the binder’s signature and the year in which the book was bound. All edges gilt and gauffered; traces of a 16th-century manuscript used as rear pastedown. Text ruled in red, with an appended, unrelated gathering B entitled Phocylidis poema admonitorium (from an unidentified 16th-century probably French edition) and two leaves of gathering F misbound. Armorial supralibros of Julius von Thungen (ca. 1558) on covers as above; bookplate of Anton Ruland (1874) and Goldschmidt’s gilt booklabel “E PH G” (ca. 1900) on front pastedown; modern label of G. J. Arvanitidi and autograph of Anton Ruland on front free endpaper; casemark label to rear pastedown. Most recently in the library of American collector Albert A. Howard, small booklabel (“AHA”) at rear. The E.P. Goldschmidt copy of a fascinating humanistic sammelband, “an example of a German student’s binding made in some French university town, whether Paris, Bourges or Orleans” (E.P. Goldschmidt, Gothic and Renaissance Bookbindings. London & Boston, 218). The first work is the first Greek-Latin edition of the ‘Sibyllinorum oraculorum libri VIII,’ based on Birck’s Greek edition of 1545 as amended and translated by Sébastien Castellion (1515-1563). These were short prophecies allegedly uttered by the ancient Sibyls, imbued with Greek mythology and the doctrines of Gnosticism, Hebraism, and early Christianity. The second work is the first Greek-Latin edition of a florilegium of ancient drama and poetry – including prominently Menander – which had survived in fragmentary form only. Like the oracles, these excerpts were interpreted allegorically by humanists as a gateway to disclose pagan insights into the coming of Christ. Present here is the Latin translation only, the Greek never having  been bound in. I: Verzeichnis der im deutschen Sprachbereich erschienenen Drucke des 16. Jahrhunderts. Munchen, S6278; J.G.T. Grässe, Trésor de livres rares et précieux. Dresden, VI, 398. II:: A. Pettegree & M. Walsby, French books III & IV: books published in France before 1601 in Latin and languages other than French. Leiden & Boston, 2012, 79713.",Basel : Per Ioannem Oporinum,Internet Archive,2025-11-18T16:14:38.727079
bib_fict_8658317,Johannis Hardouini Societas Jesu Presbyteri Chronologiæ ex Nummis antiquis restitutæ prolusio de nummis herodiadum,"Hardouin, Johannes [Jean], S. J.",1693-01-01T00:00:00Z,1693,Latin,"Small 4to. pp. 208, [3]. Signatures: A-O⁴. Near-contemporary vellum-backed and cornered marbled boards. With contemporary manuscript notes on front pastedown and flyleaf. First edition of a celebrated, if notorious, contribution to the extreme sceptical movement in 17th-century classical studies. Although already a notable, and formidably industrious editor of ecclesiastical records, this remarkable text constitutes the earliest appearance of Hardouin’s venture into the mad world of universal disbelief (see A. Grafton, Bring Out Your Dead: The Past as a Revelation. Cambridge, Mass., 2001, pp, 181-207). Claiming to have discovered, in part from his intense research into numismatic evidence for all western history – although he credited much of his work to an anonymous critic – that the only truly genuine classical texts extant were a few by Cicero, Pliny the Elder, Virgil (but the Georgics alone: ‘the thought of writing the Aeneid never entered Virgil’s mind’) and Horace (Satires and Epistles only), he went on to casually dismiss as abject fakes by a mysterious sodality (Arnaldo Momigliani calls them ‘a gang of Italians in the fourteenth century’) ‘the whole range of written texts from antiquity, which modern critics strove so desperately to reconcile with one another’ (Grafton, p. 188). As the first to detect the true nature of virtually all Greek and Latin literature known to immediate posterity, and to discredit entirely such revered masterworks as Augustine’s Confessions, Hardouin thus introduced, and spent a scholarly lifetime recapitulating, the incredible notion that nearly every major and minor writer from Homer and Hesiod onward was simply a figment of latter-day fictive invention, and that ‘the classical and patristic heritage was not only incomplete but largely spurious.’  Hardouin continued to work on his astounding theories ever after, but the 1693 Chronologiæ was no doubt his greatest, or most outrageous evocation of them. The volume appears never to have been reprinted entirely as such (Grafton tells us that on 7 January 1693 a delegation of Jesuits led by Father Hurault, rector of the Jesuit College of Louis le Grand, invaded the printing shop of Jean Anisson and confiscated all copies of the book lodged there, which may account for its evident rarity). For rare it is, and not to be confused with Hardouin’s similarly-titled works of 1697 (Chronologiæ ex nummis antiquis restitutæ specumen primum: numismata sæculi Constantiniani) and 1699 (Chronologiae veteris Testimenti [...] et nummis antiquis [...] specimen alterum, see Bib# /Fr# 344).",Paris : Apud Joannem Anisson Typographiæ Regiæ Directorem,Internet Archive,2025-11-18T16:14:38.727088
bib_fict_8657973,"De Joanna Papissa, sive Famosæ Quæstionis, An fœmina ulla inter Leonem IV, & Benedictum III, Romanos Pontifices, media sederit, A’ NA´ KPIΣΙΣ. Auctore Davide Blondello [...]","Blondel, David ; de Courcelles, Étienne (trans.)",1657-01-01T00:00:00Z,1657,Latin,"Full title: De Joanna Papissa, sive Famosæ Quæstionis, An fœmina ulla inter Leonem IV, & Benedictum III, Romanos Pontifices, media sederit, A’ NA´ KPIΣΙΣ. Auctore Davide Blondello, Catalaunensi, Historiæ Ecclesiasticæ in Illustri Schola Amstelædamensi nuper Professore. 8vo. pp. [104], 140, [30]. Signatures: */a8, b-f8, A-L8. Bound in 19th-century straight-grain morocco, richly gilt. With large folding table. First edition in Latin of Blondel’s demolition of the legendary female papacy of Joan (or Joannes Anglicus), in 855-57 (or later, in some accounts), first raised as a true episode by the chronicler Jean de Mably in the mid-thirteenth century, and held dear as a mark of Romanist folly by anti-Catholic controversialists during the late middle ages and Renaissance. Its mythical status was asserted by Pope Clement VIII in 1601, but Blondel’s analysis of 1647 (in French, here rendered into standard Latin by Étienne de Courcelles, with a long apologetic preface), ‘effectively demolished’ the tradition, or as Edward Gibbon put it, ‘annihilated’ Pope Joan herself – indicating, incidentally, that Blondel (d. 1655) did not restrict his exposure of forgeries to those discreditable to the Roman Church. See A. Cioranescu, Bibliographie de la littérature française du dix-septième siècle. Paris, 1965, vol. I, 12491.",Amsterdam : Typis Joannis Blaeu,Internet Archive,2025-11-18T16:14:38.727096
bib_fict_7276333,Leonis Allatii De Patria Homeri,"Allatius, Leo [Allacci, Leone] ; Proclus ; Baian, André (trans.)",1640-01-01T00:00:00Z,1640,Latin,"8vo. pp. 31 [i.e. 39]; pp. 295; f. [1], pp. 71, (5), [1] (blank). Contemporary sheep with gilt title on spine and gilt initials ‘A M’ in spine compartments. Engraved vignette of Homer and the Sphinx on title page, with a smaller rendering of the same on p. 11 of the first section. Ownership inscription of Abraham Girard, dated 1668, on title page. Rare first edition of this patriotic, yet intensely learned effort by Allatios (ca. 1586-1669), a native of Chios, to prove that the birthplace of Homer was, in fact, Chios. As the librarian of Cardinal Barberini, Allatios had unparalleled access to manuscripts in Roman libraries and beyond, including those of the Bibliothèque Royale in Paris which supplied the two main accounts used in his treatise; unfortunately along the way Allatios takes such spurious works as the accounts of the ‘Trojans’ Dictys and Dares at face value. The preliminary matter includes a dedication to Francesco Barberini and the author’s foreword, thanking his friend Jean Bourdelot for copies of the two manuscript lives of Homer from Paris: one by Proclus, and the other anonymous; both are presented in Greek and Latin on facing pages. The second section contains Allatios’ own extrapolations, research and hypotheses; and the last section is a lengthy poem on the subject of Homer’s birthplace composed in Greek by Allacci and kindly translated into Latin by a Goan-born philologist, André Baian. Allatius was vigorously involved in Classical debates and had just published, in 1637, “his own set of controversial ancient texts, the purported writings of Socrates, Antisthenes, and other Socratic philosophers – essays that flew in the face of Plato’s contention that Socrates had never written anything” (I. Rowland, The Scarith of Scornello: A Tale of Renaissance Forgery, Chicago, 2004, pp. 73-74). See also J.E. Sandys, A History of Classical Scholarship. Cambridge, 1903, p. 356; a recent study of Allatios is K. Hartnup, 'On the Beliefs of the Greeks': Leo Allatios and Popular Orthodoxy. Leiden, 2004.",Lyon : Sumptibus Laurentii Durand,Internet Archive,2025-11-18T16:14:38.727102
McGillLibrary-osl_poemata-novis-scholiis-illustrata_V497p1583-21693,"Poemata : Novis scholiis illustrata, quae Henr. Steph ... dedit ..",Virgil,1583-01-01T00:00:00Z,1583,Latin,"[14] 419, 77 pages",[Geneva],Internet Archive,2025-11-18T16:14:38.727122
McGillLibrary-osl_campus-elysius-gallilae-amoenitate-refertus_WZ240C449c1533_1353820876-21654,Campus Elysius Galliae amoenitate refertus,"Champier, Symphorien, 1472?-approximately 1535, author",1533-01-01T00:00:00Z,1533,Latin,3 parts in 1 ; 18 cm (8vo).,Lugduni : In aedibus Melchioris et Gasparis Trechsel fratrum.,Internet Archive,2025-11-18T16:14:38.727139
bib_fict_6722377,"Paraeneticorum veterum Pars I.nd. In qua producuntur Scriptores VIII. S. Valerianus Cimelensis, S. Columbanus Abbas, Dinamius Grammaticus, S. Basilius Episcopus, Anneus Boetius, Tyrol Rex Scotorum, Winsbekius Eq. Germanus, Winsbekia, nobilis Germana [...]","Goldast, Melchior ; Rittershausen, Konrad",1604-01-01T00:00:00Z,1604,Latin,"Full title: Paraeneticorum veterum Pars I.nd. In qua producuntur Scriptores VIII. S. Valerianus Cimelensis, S. Columbanus Abbas, Dinamius Grammaticus, S. Basilius Episcopus, Anneus Boetius, Tyrol Rex Scotorum, Winsbekius Eq. Germanus, Winsbekia, nobilis Germana. Cum Notis Melchioris Haiminsfeldii Goldasti, ex bibliotheca & sumtibus Bartholemæi Schobingeri JC. Adjectæ Cunradi Rittershusii JC. Conjecturæ in Panegyricos veteres . 4to. pp. 490, [46]. Signatures: A-Z⁴ a-z⁴ 2A-2N⁴ 2O⁶(-O6) 2P-2X⁴. Polished calf. Illustrated at head of each of the three Middle High German poems. A ‘dual’ presentation copy, inscribed by Goldast first to Isaac Casaubon (scribbled over), then to Friedrich Taubmann (1565-1613, neo-Latin poet, philologist, and wit), and heavily annotated by the latter. Manuscript annotations throughout in two hands. In manuscript on title page: ""A.b.1760. NCS[?]"" and ""G.A. Gumlich, 1857."" In Latin and Middle High German; commentary in German. First edition of Melchior Goldast’s earliest substantial scholarly work; see in extenso A. Baade, Melchior Goldast von Haiminsfeld: collector, commentator, and editor. New York, 1992. Among other texts found in hitherto unstudied medieval manuscripts in the monastery of St Gall, and in private holdings in Germany and Switzerland, Goldast transcribed, with commentary, large portions of three Middle High German didactic poems known only from the early fourteenth-century Codex Manesse: ‘König Tyro von Schotten’ (of which no Scottish equivalent is known) and the German tales of Winsbeke’ and ‘Winsbekin,’ thus in effect initiating modern studies of medieval vernacular literature in Germanic-speaking Europe. But his subsequent forgeries of ancient texts in the Alamannicarum rerum scriptores (see Bib# 4102861/Fr# 338 in this collection) and elsewhere, and his invention of a libellous slur on Justus Lipsius, cast in some doubt the veracity of the declarations and transcripts here. See The National union catalog, pre-1956 imprints: a cumulative author list representing Library of Congress printed cards and titles reported by other American libraries. London, 1968-1981, vol. 204, 343; J.G.T. Grässe, Trésor de livres rares et précieux. Dresden, B. Kuntze, 1859-1869, vol. 3, p. 107.",Lindau (Bodensee) : Ex officina typographica Ioannis Ludovici Brem,Internet Archive,2025-11-18T16:14:38.727155
bib_fict_4386890,Isaaci Vossii Observationum ad Pomp. Melam appendix. Accedit ejusdem ad Tertias P. Simonii Objectiones Responsio. Subjungitur Pauli Colomesii ad Henricum Justellum Epistola,"Vossius, Isaac",1686-01-01T00:00:00Z,1686,Latin,"4to. pp. [1], 136, [4] (3 last blank). Signatures: [A]2 B-S4. Vellum boards. Leather lettering panel with gilded title. Marginalia on p. 1. Engraved initial. Bound with two other works. From the Fagel Collection. The present work is an appendix to Observationum ad Pomp[onium] Melam by Isaac Vossius (1618-1689), the Dutch manuscript collector and scholar-librarian to the queen of Sweden. The first section is a critique of Jacobus Gronovius' annotations of an edition of Pompeius Mela. Paul Colomiès' letter is in French. The work includes at pp. 58-72 a sniffy reply to the dissertation of Humphrey Hody (1659-1707), who for the first time systemically demolished the forged and widely reproduced Letter to Philocrates on the Septuagint by pseudo-Aristeas. See ESTC, R24581; D. Wing (ed.), Short-title Catalogue of Books Printed in England, Scotland, Ireland, Wales, and British America, and of English Books Printed in Other Countries, 1641–1700. 4 vols. New York, 1982-98 (2nd ed.), V704; E. Havens, “Babelic Confusion. Literary Forgery and the Bibliotheca Fictiva,” in W. Stephens & E. Havens (eds.), Literary forgery in early modern Europe, 1450-1800, Baltimore, 2018, pp. 42-44.","London: Prostant apud Robertum Scott, Bibliopolam",Internet Archive,2025-11-18T16:14:38.727165
bib_fict_418910,"Διονυσίου Λογγίνου Περὶ ὕψους, καὶ τὰλλα εὑρισκόμενα. Dionysii Longini De sublimitate commentarius, Ceteraque, quæ reperiri potuere [...]","Longinus (attr.) ; Tollius, Jacobus (ed.) ; Robortello, Francesco (ed.) ; Portus, Franciscus (ed.) ; de Petra, Gabriel (ed.) ; Langbaine, Gerard (ed.) ; Dacier, André (ed.)",1694-01-01T00:00:00Z,1694,Latin,"Full title: Διονυσίου Λογγίνου Περὶ ὕψους, καὶ τὰλλα εὑρισκόμενα. Dionysii Longini De sublimitate commentarius, Ceteraque, quæ reperiri potuere. In usum serenissimi Principis Electoralis Brandenburgici Jacobus Tollius E quinque Codicibus MSS. emendavit, & Fr. Robortelli, Fr. Porti, Gabrielis de Petra, Ger. Langbænii, & Tanaquilli Fabri, notis integris suas subjecit, novamque versionum suam Latinam, & Gallicam Boilavii, cum ejusdem, ac Dacierii, suisque notis Gallicis addidit. 4to. pp. [26], 408, [12]. Signatures: *⁴( -*1) 2*-3*⁴ 4*² A-3F⁴ 3G². Printer's device on title page. Includes ornaments and initials. Text in Latin and Greek, followed by French translation from the Greek of ‘De Sublimitate:’ ""Traité du sublime, ou, Du merveilleux dans le discours. Traduit du grec de Longin par Monsieur Despreaux."" Attributed to Longinus, the name assigned to the anonymous first-century author of the treatise. Formerly incorrectly attributed to Dionysius Cassius Longinus, ca. 213-273. See also D. Wing (ed.), Short-title Catalogue of Books Printed in England, Scotland, Ireland, Wales, and British America, and of English Books Printed in Other Countries, 1641-1700. 4 vols. New York, 1982-1998 (2nd ed.), V 704; Brunet, J.-C. Brunet, Manuel du Libraire et de l'amateur de livres. Paris, 1862, III, col. 1151; J.G.T. Grässe, Trésor de livres rares et précieux. Dresden, 1859-1869, IV, pp. 252.","Utrecht : Ex Officinâ Francisci Halma, Academiæ Typographi",Internet Archive,2025-11-18T16:14:38.727173
bib_fict_4102842,"Ioannis Ludovici Guezii Balzacii Carminum, Libri tres. Eiusdem epistolæ selectæ. Editore Ægidio Menagio","Guez de Balzac, Jean-Louis, seigneur ; Ménage, Gilles (ed.) ; Chauveau, François (engr.) ; Regnesson, Nicolas (engr.) ; Picart, Jean (engr.)",1650-01-01T00:00:00Z,1650,Latin,"4to. f. [1] (blank), pp. [16], 475 [i.e. 479; p. 27 misnumbered 72; pp. 437-440 repeated in numbering; pp. 441 ff. called 437 ff.], [11], f. [1] (blank). Signatures: ã⁴ ẽ⁴ A-3P⁴ χ1. Vellum. Manuscript spine title, remnants of later label onfront board, some manuscript annotations and corrections. Historiated and engraved initials, head- and tailpieces. With an added, engraved title page (ã1); signed ""F. Chauveau in."", ""N. Regnesson Sculp."" Engraved vignette on title page, signed ""Ioan. Picart fe."" The ‘Indignatio in poetas Neronianorum temporum’ (first printed here at pp. 194-197), although an obvious imitation, was later treated as the work of the Roman satirist Turnus, and W. Speyer (Die literarische Fälschung im heidnischen und christlichen Altertum: ein Versuch ihrer Deutung. Munich, 1971, p. 320) among others regards Guez de Balzac as its forger. J.-M. Quérard, Les supercheries littéraires dévoilées; seconde édition, considérablement augmentée, publiée par MM. Gustave Brunet et Pierre Jannet. Paris, 1870, III, col. 865, gives a good account; see also O. Delepierre, Supercheries littéraires, London, 1872, pp. 51-56. Click here to view the Johns Hopkins University catalog record.",Paris : Sumptibus Augustini Courbé,Internet Archive,2025-11-18T16:14:38.727201
bib_fict_4102893_2,"La satyre de Petrone. Traduite en francois avec le texte latin, suivant le nouveau manuscrit, trouvé à Bellegrade en 1688. Ouvrage complet. Contenant les galanteries et les Débauches de l'Empereur Néron, & de ses Favoris [...] Tome second","Petronius Arbiter, Titus ; [Nodot, François]",1694-01-01T00:00:00Z,1694,Latin,"Full title: La satyre de Petrone. Traduite en francois avec le texte latin, suivant le nouveau manuscrit, trouvé à Bellegrade en 1688. Ouvrage complet. Contenant les galanteries et les Débauches de l'Empereur Néron, & de ses Favoris: avec des remarques curieuses Et une Table des Principales Matiéres; Enrichi de Figures en Taille Douce. Tome second. Second of 2 volumes in 12mo. ff. [2] (blank), pp. [8], 549, [1] (blank), ff. [6] (plates), [2] (blank). Calf boards with gilt filet on front edge, gilded spine on 5 bars, red and black lettering panels, red edges. Latin and French on opposite pages. ""Chez Pierre Marteau"" was not an existing publishing house, but a name borrowed by various booksellers in Europe. Printer's device on title page. Engraved frontispiece for each volume, and full-page engraved plates with a caption for each chapter title. Head- and tailpieces. The first text for a French market, incorporating the connective fragments said to have been found at Belgrade in 1688, but in fact forged – that is, probably composed or appropriated from a rhetorical exercise of an amateur classicist (see W. Stolz, Petrons Satyricon und François Nodot: ein Beitrag zur Geschichte literarischer Fälschungen. Mainz, 1987; Bib# 4102895/Fr# 374 in this collection) – by the military novelist François Nodot. Nodot published the work as a manuscript ‘discovery’ made by him in war-torn Dalmatia, together with his letter to François Charpentier, president of the Académie Française, announcing the discovery (11 October 1690), and Charpentier’s reply (9 November), welcoming it. See S. Gaselee, ‘Bibliography of Petronius’ in: Transactions of the Bibliographical Society, 10 (1909), pp. 141-233, number 89 (‘All these translations with Cologne imprint were probably printed in France’); W. Stolz, 10. Click here to view the Johns Hopkins University catalog record.",Cologne [i.e. Paris?] : Chez Pierre Marteau,Internet Archive,2025-11-18T16:14:38.727209
bib_fict_4102893_1,"La satyre de Petrone. Traduite en francois avec le texte latin, suivant le nouveau manuscrit, trouvé à Bellegrade en 1688. Ouvrage complet. Contenant les galanteries et les Débauches de l'Empereur Néron, & de ses Favoris [...] Tome premier","Petronius Arbiter, Titus ; [Nodot, François]",1694-01-01T00:00:00Z,1694,Latin,"Full title: La satyre de Petrone. Traduite en francois avec le texte latin, suivant le nouveau manuscrit, trouvé à Bellegrade en 1688. Ouvrage complet. Contenant les galanteries et les Débauches de l'Empereur Néron, & de ses Favoris: avec des remarques curieuses Et une Table des Principales Matiéres; Enrichi de Figures en Taille Douce. Tome premier. First of 2 volumes in 12mo. ff. [2] (blank), pp. [60], 475, [1] (blank), ff. [3] (plates), [1] (blank). Calf boards with gilt filet on front edge, gilded spine on 5 bars, red and black lettering panels, red edges. Latin and French on opposite pages. ""Chez Pierre Marteau"" was not an existing publishing house, but a name borrowed by various booksellers in Europe. Printer's device on title page. Engraved frontispiece for each volume, and full-page engraved plates with a caption for each chapter title. Head- and tailpieces. This volume includes ""La vie de Pétrone."" The first text for a French market, incorporating the connective fragments said to have been found at Belgrade in 1688, but in fact forged – that is, probably composed or appropriated from a rhetorical exercise of an amateur classicist (see W. Stolz, Petrons Satyricon und François Nodot: ein Beitrag zur Geschichte literarischer Fälschungen. Mainz, 1987; Bib# 4102895/Fr# 374 in this collection) – by the military novelist François Nodot. Nodot published the work as a manuscript ‘discovery’ made by him in war-torn Dalmatia, together with his letter to François Charpentier, president of the Académie Française, announcing the discovery (11 October 1690), and Charpentier’s reply (9 November), welcoming it. See S. Gaselee, ‘Bibliography of Petronius’ in: Transactions of the Bibliographical Society, 10 (1909), pp. 141-233, number 89 (‘All these translations with Cologne imprint were probably printed in France’); W. Stolz, 10. Click here to view the Johns Hopkins University catalog record.",Cologne [i.e. Paris?] : Chez Pierre Marteau,Internet Archive,2025-11-18T16:14:38.727217
McGillLibrary-osl_liber-moralitatum-elegantissimus-magnaurm_folioWZ230F225L1477-24947,Liber moralitatum elegantissimus magnaurm re naturalium Lumen animae dictus. : Cum septem apparitoribus necnon sanctorum docto[rum] orthodoxe fidei professorum. Poetarum etiam ac oratorum auctoritatibus per modu[m] pharatre s[ecundu]m ordinem alphabeti collectis feliciter incipit,"Farinator, Matthias, active 1477. https://id.oclc.org/worldcat/entity/E39PBJc3HyJ4XVXY94QXGtdhHC",1477-01-01T00:00:00Z,1477,Latin,[370] leaves ; 29 cm.,[Augsburg] : ... per me Anthonium Sorg ciuem Augusten. artis impressorie magistrum,Internet Archive,2025-11-18T16:14:39.968794
McGillLibrary-osl_de-sermonum-proprietate_folioWZ230H873s1467-24097,De sermonum proprietate,"Rabanus Maurus, Archbishop of Mainz, 784?-856",1467-01-01T00:00:00Z,1467,Latin,170 unnumbered leaves (first and last 2 blank) ; (fol.),[Strassburg] : ['R' Printer (Adolf Rusch)],Internet Archive,2025-11-18T16:14:39.968835
